symbol
RELIANCE
TCS
HDFCBANK
ICICIBANK
HINDUNILVR
INFY
HDFC
ITC
SBIN
BHARTIARTL
KOTAKBANK
BAJFINANCE
LICI
LT
HCLTECH
ASIANPAINT
AXISBANK
MARUTI
SUNPHARMA

